category,product_name,size,size_ml
BEER,AMSTEL,650,650
BEER,BACARDI + CRANBERRY,275,275
BEER,BACARDI + ORANGE,275,275
BEER,BACARDI LEMONARDE,275,275
BEER,BREEZER BLACK BURRY,275,275
BEER,BREEZER BLUE BERRY,275,275
BEER,BREEZER JAMAICA,275,275
BEER,BREEZER MANGO PEACH,275,275
BEER,BREEZER TANGY CRAN,275,275
BEER,BREEZER WATERMELON,275,275
BEER,BUDWEISER PREMIUM,650,650
BEER,BUDWEISER PREMIUM,500,500
BEER,BUDWESIER MAGUM,650,650
BEER,BUDWESIER MAGUM,500,500
BEER,BULLET,650,650
BEER,BULLET,500,500
BEER,CARLSBERG ELEPHANT,650,650
BEER,CARLSBERG ELEPHANT,500,500
BEER,CARLSBERG SMOOTH,650,650
BEER,HAYWARDS 5000,650,650
BEER,HEIN KEIN BEER,650,650
BEER,KING FISHER PREMIUM,650,650
BEER,KING FISHER PREMIUM,500,500
BEER,KING FISHER STRONG,PINT,
BEER,KING FISHER STRONG,650,650
BEER,KING FISHER STRONG,500,500
BEER,KING FISHER STRONG,330,330
BEER,KING FISHER ULTRA,650,650
BEER,KING FISHER ULTRA MAX,650,650
BEER,KNOCK OUT,650,650
BEER,KNOCK OUT,500,500
BEER,LEGEND,650,650
BEER,LEGEND,500,500
BEER,LEGEND,330,330
BEER,POWER COOL,650,650
BEER,POWER COOL,500,500
BEER,POWER COOL,330,330
BEER,ROYAL CHALLENGE BEER,650,650
BEER,ROYAL CHALLENGE BEER,500,500
BEER,ROYAL CHALLENGE BEER,330,330
BEER,SUNNY BEACHES,650,650
BEER,SUNNY BEACHES,500,500
BEER,TOBORG CLASSIC,650,650
BEER,TOBORG GREEN,650,650
BEER,TOBORG STRONG,PINT,
BEER,TOBORG STRONG,650,650
BEER,TOBORG STRONG,500,500
